Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,GOOGL,,,,,,
2010-01-05,GOOGL,,,,,,
2010-01-06,GOOGL,,,,,,
2010-01-07,GOOGL,,,,,,
2010-01-08,GOOGL,,,,,,
2010-01-11,GOOGL,,,,,,
2010-01-12,GOOGL,,,,,,
2010-01-13,GOOGL,,,,,,
2010-01-14,GOOGL,,,,,,
2010-01-15,GOOGL,,,,,,
2010-01-19,GOOGL,,,,,,
2010-01-20,GOOGL,,,,,,
2010-01-21,GOOGL,,,,,,
2010-01-22,GOOGL,,,,,,
2010-01-25,GOOGL,,,,,,
2010-01-26,GOOGL,,,,,,
2010-01-27,GOOGL,,,,,,
2010-01-28,GOOGL,,,,,,
2010-01-29,GOOGL,,,,,,
2010-02-01,GOOGL,,,,,,
2010-02-02,GOOGL,,,,,,
2010-02-03,GOOGL,,,,,,
2010-02-04,GOOGL,,,,,,
2010-02-05,GOOGL,,,,,,
2010-02-08,GOOGL,,,,,,
2010-02-09,GOOGL,,,,,,
2010-02-10,GOOGL,,,,,,
2010-02-11,GOOGL,,,,,,
2010-02-12,GOOGL,,,,,,
2010-02-16,GOOGL,,,,,,
2010-02-17,GOOGL,,,,,,
2010-02-18,GOOGL,,,,,,
2010-02-19,GOOGL,,,,,,
2010-02-22,GOOGL,,,,,,
2010-02-23,GOOGL,,,,,,
2010-02-24,GOOGL,,,,,,
2010-02-25,GOOGL,,,,,,
2010-02-26,GOOGL,,,,,,
2010-03-01,GOOGL,,,,,,
2010-03-02,GOOGL,,,,,,
2010-03-03,GOOGL,,,,,,
2010-03-04,GOOGL,,,,,,
2010-03-05,GOOGL,,,,,,
2010-03-08,GOOGL,,,,,,
2010-03-09,GOOGL,,,,,,
2010-03-10,GOOGL,,,,,,
2010-03-11,GOOGL,,,,,,
2010-03-12,GOOGL,,,,,,
2010-03-15,GOOGL,,,,,,
2010-03-16,GOOGL,,,,,,
2010-03-17,GOOGL,,,,,,
2010-03-18,GOOGL,,,,,,
2010-03-19,GOOGL,,,,,,
2010-03-22,GOOGL,,,,,,
2010-03-23,GOOGL,,,,,,
2010-03-24,GOOGL,,,,,,
2010-03-25,GOOGL,,,,,,
2010-03-26,GOOGL,,,,,,
2010-03-29,GOOGL,,,,,,
2010-03-30,GOOGL,,,,,,
2010-03-31,GOOGL,,,,,,
2010-04-01,GOOGL,,,,,,
2010-04-05,GOOGL,,,,,,
2010-04-06,GOOGL,,,,,,
2010-04-07,GOOGL,,,,,,
2010-04-08,GOOGL,,,,,,
2010-04-09,GOOGL,,,,,,
2010-04-12,GOOGL,,,,,,
2010-04-13,GOOGL,,,,,,
2010-04-14,GOOGL,,,,,,
2010-04-15,GOOGL,,,,,,
2010-04-16,GOOGL,,,,,,
2010-04-19,GOOGL,,,,,,
2010-04-20,GOOGL,,,,,,
2010-04-21,GOOGL,,,,,,
2010-04-22,GOOGL,,,,,,
2010-04-23,GOOGL,,,,,,
2010-04-26,GOOGL,,,,,,
2010-04-27,GOOGL,,,,,,
2010-04-28,GOOGL,,,,,,
2010-04-29,GOOGL,,,,,,
2010-04-30,GOOGL,,,,,,
2010-05-03,GOOGL,,,,,,
2010-05-04,GOOGL,,,,,,
2010-05-05,GOOGL,,,,,,
2010-05-06,GOOGL,,,,,,
2010-05-07,GOOGL,,,,,,
2010-05-10,GOOGL,,,,,,
2010-05-11,GOOGL,,,,,,
2010-05-12,GOOGL,,,,,,
2010-05-13,GOOGL,,,,,,
2010-05-14,GOOGL,,,,,,
2010-05-17,GOOGL,,,,,,
2010-05-18,GOOGL,,,,,,
2010-05-19,GOOGL,,,,,,
2010-05-20,GOOGL,,,,,,
2010-05-21,GOOGL,,,,,,
2010-05-24,GOOGL,,,,,,
2010-05-25,GOOGL,,,,,,
2010-05-26,GOOGL,,,,,,
2010-05-27,GOOGL,,,,,,
2010-05-28,GOOGL,,,,,,
2010-06-01,GOOGL,,,,,,
2010-06-02,GOOGL,,,,,,
2010-06-03,GOOGL,,,,,,
2010-06-04,GOOGL,,,,,,
2010-06-07,GOOGL,,,,,,
2010-06-08,GOOGL,,,,,,
2010-06-09,GOOGL,,,,,,
2010-06-10,GOOGL,,,,,,
2010-06-11,GOOGL,,,,,,
2010-06-14,GOOGL,,,,,,
2010-06-15,GOOGL,,,,,,
2010-06-16,GOOGL,,,,,,
2010-06-17,GOOGL,,,,,,
2010-06-18,GOOGL,,,,,,
2010-06-21,GOOGL,,,,,,
2010-06-22,GOOGL,,,,,,
2010-06-23,GOOGL,,,,,,
2010-06-24,GOOGL,,,,,,
2010-06-25,GOOGL,,,,,,
2010-06-28,GOOGL,,,,,,
2010-06-29,GOOGL,,,,,,
2010-06-30,GOOGL,,,,,,
2010-07-01,GOOGL,,,,,,
2010-07-02,GOOGL,,,,,,
2010-07-06,GOOGL,,,,,,
2010-07-07,GOOGL,,,,,,
2010-07-08,GOOGL,,,,,,
2010-07-09,GOOGL,,,,,,
2010-07-12,GOOGL,,,,,,
2010-07-13,GOOGL,,,,,,
2010-07-14,GOOGL,,,,,,
2010-07-15,GOOGL,,,,,,
2010-07-16,GOOGL,,,,,,
2010-07-19,GOOGL,,,,,,
2010-07-20,GOOGL,,,,,,
2010-07-21,GOOGL,,,,,,
